sample_idx,min_ade,min_fde,best_ade_k,best_fde_k,conf_ade,conf_fde,conf_k,conf_prob
883,0.04817720875144005,0.09427101910114288,1,1,0.04817720875144005,0.09427101910114288,1,0.9874167442321777
34,0.20323200523853302,0.21350471675395966,1,1,0.20323200523853302,0.21350471675395966,1,0.9974103569984436
2543,0.03856735676527023,0.0857580378651619,1,1,0.03856735676527023,0.0857580378651619,1,0.9773859977722168
1139,0.15019746124744415,0.15524162352085114,1,1,0.15019746124744415,0.15524162352085114,1,0.9036219120025635
1887,0.9763973355293274,1.465218186378479,2,2,1.2803044319152832,4.575364112854004,4,0.3453170955181122
2774,0.18107621371746063,0.33347758650779724,1,1,0.18107621371746063,0.33347758650779724,1,0.8986086845397949
2206,0.1762542724609375,0.3047093152999878,5,5,0.1816241294145584,0.35662728548049927,1,0.955305278301239
1839,0.5507718324661255,1.0173026323318481,3,3,0.5507718324661255,1.0173026323318481,3,0.9725379943847656
2523,0.05110648646950722,0.1677156686782837,1,1,0.05110648646950722,0.1677156686782837,1,0.939659595489502
2582,0.09495752304792404,0.16991254687309265,1,5,0.09495752304792404,0.2012518346309662,1,0.8495909571647644
3266,0.6701722741127014,0.5821571350097656,5,1,4.297150135040283,13.502471923828125,2,0.5179441571235657
2881,1.2978914976119995,2.7926931381225586,3,3,1.2978914976119995,2.7926931381225586,3,0.9768152236938477
548,0.07597038894891739,0.11051169037818909,1,1,0.07597038894891739,0.11051169037818909,1,0.6534770727157593
1592,0.12916894257068634,0.2034706473350525,1,1,0.12916894257068634,0.2034706473350525,1,0.7282832264900208
2271,0.09883642196655273,0.0880095586180687,1,1,0.09883642196655273,0.0880095586180687,1,0.8379649519920349
1865,3.7008702754974365,7.89963436126709,3,3,3.7008702754974365,7.89963436126709,3,0.8524850606918335
61,0.15043167769908905,0.5528698563575745,1,1,0.15043167769908905,0.5528698563575745,1,0.8926757574081421
1699,0.045238371938467026,0.09660866856575012,1,1,0.045238371938467026,0.09660866856575012,1,0.9927887320518494
1135,0.11151251941919327,0.16357041895389557,1,1,0.11151251941919327,0.16357041895389557,1,0.8889574408531189
1670,1.4475113153457642,0.8911212682723999,0,0,1.4475113153457642,0.8911212682723999,0,0.8373187780380249
1436,0.034936025738716125,0.032489921897649765,1,1,0.034936025738716125,0.032489921897649765,1,0.836904764175415
489,0.16132916510105133,0.15680095553398132,1,1,0.16132916510105133,0.15680095553398132,1,0.9621484875679016
2963,1.121337652206421,2.902726411819458,3,3,1.121337652206421,2.902726411819458,3,0.9684213399887085
